fragment_name,species,t_hours,t_hours,day,time,type,Tank,preservative,Plug #,Genotype,Color_Score_Image,Status,Notes
POR_S24_H3,POR,24,heat,"Thu, Jun 26",9:00 AM,spatial,Tank_5,Formalin,1120,Unknown,IMG_4316,In flammable fridge in 70% ethanol,
POR_P72_C1,POR,72,control,"Sat, Jun 28",9:00 AM, phys,Tank_1,LN2,2997,Genotype E14,IMG_4318,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R72_C1,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_1,DNA/RNA shield,1439,Unknown,IMG_4320,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R72_C1,POR,72,control,"Sat, Jun 28",9:00 AM,LCM,Tank_1,PAXgene,1439,Unknown,IMG_4320,In flammable fridge in Paxgene Stabilizer,
POR_S72_C1,POR,72,control,"Sat, Jun 28",9:00 AM,spatial,Tank_1,Formalin,2737,Genotype A13,IMG_4321,In flammable fridge in 70% ethanol,
POR_P72_C2,POR,72,control,"Sat, Jun 28",9:00 AM, phys,Tank_4,LN2,1274,Unknown,IMG_4322,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R72_C2,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_4,DNA/RNA shield,3002,Sep2024,IMG_4323,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R72_C2,POR,72,control,"Sat, Jun 28",9:00 AM,LCM,Tank_4,PAXgene,3002,Sep2024,IMG_4323,In flammable fridge in Paxgene Stabilizer,
POR_S72_C2,POR,72,control,"Sat, Jun 28",9:00 AM,spatial,Tank_4,Formalin,1174,Unknown,IMG_4324,In flammable fridge in 70% ethanol,
POR_P72_C3,POR,72,control,"Sat, Jun 28",9:00 AM, phys,Tank_6,LN2,1223,Genotype E15,IMG_4325,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R72_C3,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_6,DNA/RNA shield,1125,Unknown,IMG_4326,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R72_C3,POR,72,control,"Sat, Jun 28",9:00 AM,LCM,Tank_6,PAXgene,1125,Unknown,IMG_4326,In flammable fridge in Paxgene Stabilizer,
POR_S72_C3,POR,72,control,"Sat, Jun 28",9:00 AM,spatial,Tank_6,Formalin,1234,Unknown,IMG_4327,In flammable fridge in 70% ethanol,
POR_P72_H1,POR,72,heat,"Sat, Jun 28",9:00 AM, phys,Tank_2,LN2,1495,Unknown,IMG_4329,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R72_H1,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_2,DNA/RNA shield,1242,Unknown,IMG_4330,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R72_H1,POR,72,heat,"Sat, Jun 28",9:00 AM,LCM,Tank_2,PAXgene,1242,Unknown,IMG_4330,In flammable fridge in Paxgene Stabilizer,
POR_S72_H1,POR,72,heat,"Sat, Jun 28",9:00 AM,spatial,Tank_2,Formalin,2404,Unknown,IMG_4331,In flammable fridge in 70% ethanol,
POR_P72_H2,POR,72,heat,"Sat, Jun 28",9:00 AM, phys,Tank_3,LN2,1470,Unknown,IMG_4332,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R72_H2,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_3,DNA/RNA shield,1128,Genotype E16,IMG_4333,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
