Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
run-2-MON_R72_H2_S14_R1_001	run-2-MON_R72_H2_S14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6878576.0	1 Gbp	0.0	151.0	45.0	43.092117499511154	151.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
run-2-MON_R72_H2_S14_R2_001	run-2-MON_R72_H2_S14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6878576.0	1 Gbp	0.0	151.0	45.0	44.59632607657196	151.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
run-2-MON_R72_H3_S28_R1_001	run-2-MON_R72_H3_S28_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4128731.0	623.4 Mbp	0.0	151.0	42.0	72.81133609745987	151.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
run-2-MON_R72_H3_S28_R2_001	run-2-MON_R72_H3_S28_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4128731.0	623.4 Mbp	0.0	151.0	43.0	76.41227989643366	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-POC_R0_C1_S38_R1_001	run-2-POC_R0_C1_S38_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4425453.0	668.2 Mbp	0.0	151.0	43.0	69.50653023708738	151.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
run-2-POC_R0_C1_S38_R2_001	run-2-POC_R0_C1_S38_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4425453.0	668.2 Mbp	0.0	151.0	43.0	73.81683633340609	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
run-2-POC_R0_C2_S27_R1_001	run-2-POC_R0_C2_S27_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4819950.0	727.8 Mbp	0.0	151.0	43.0	68.28121682535763	151.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
run-2-POC_R0_C2_S27_R2_001	run-2-POC_R0_C2_S27_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4819950.0	727.8 Mbp	0.0	151.0	43.0	70.83484005037299	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
run-2-POC_R0_C3_S12_R1_001	run-2-POC_R0_C3_S12_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5157725.0	778.8 Mbp	0.0	151.0	44.0	65.34863665553411	151.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
run-2-POC_R0_C3_S12_R2_001	run-2-POC_R0_C3_S12_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5157725.0	778.8 Mbp	0.0	151.0	44.0	67.36256151406833	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	fail
run-2-POC_R0_H1_S36_R1_001	run-2-POC_R0_H1_S36_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4293388.0	648.3 Mbp	0.0	151.0	43.0	70.5354194250337	151.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
run-2-POC_R0_H1_S36_R2_001	run-2-POC_R0_H1_S36_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4293388.0	648.3 Mbp	0.0	151.0	43.0	73.65001130891335	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-POC_R120_C1_S18_R1_001	run-2-POC_R120_C1_S18_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3488400.0	526.7 Mbp	0.0	151.0	43.0	72.6750862666206	151.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
