"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Pocillopora_acuta_HIv2___RNAseq.g25143.t1",94.0346184539219,1.63276714036029,0.427357078688857,1.45379386911846e-05,0.000135084348829873
"Pocillopora_acuta_HIv2___RNAseq.g25144.t1",44.3342313455469,1.46539195937961,0.866646468410714,0.00687878062959398,0.0283103766692119
"Pocillopora_acuta_HIv2___RNAseq.g25145.t1",303.631915899717,2.49100137322536,0.418451721109923,1.98240720371952e-10,4.54087861840225e-09
"Pocillopora_acuta_HIv2___RNAseq.g25162.t1",2387.87528111112,2.89569533378375,0.204382223613001,1.08634168264795e-46,6.2491805294323e-44
"Pocillopora_acuta_HIv2___TS.g21597.t2",1234.260760766,1.59305785531773,0.256300350664723,6.67670238439053e-11,1.65194539639598e-09
"Pocillopora_acuta_HIv2___RNAseq.g25202.t1",19.8950132449874,1.59287624700448,0.772228168775142,0.00319967495553254,0.0149864864543827
"Pocillopora_acuta_HIv2___RNAseq.g25203.t1",58.0985037160427,3.41710835231219,0.575258706355321,1.78222287301839e-10,4.09717013069651e-09
"Pocillopora_acuta_HIv2___RNAseq.g25236.t1",883.808187421333,1.29223581382689,0.251969019982375,5.15703603404557e-08,7.9349385445427e-07
"Pocillopora_acuta_HIv2___RNAseq.g25244.t1",2030.51197572354,1.62680068320783,0.199723971938998,4.95282356858781e-17,2.59546412721586e-15
"Pocillopora_acuta_HIv2___RNAseq.g25254.t1",1200.06663210857,1.02578918982306,0.205637877762763,1.59273443351866e-07,2.22850753160811e-06
"Pocillopora_acuta_HIv2___RNAseq.g25259.t1",26.6881518326798,2.225016465354,0.690517557985462,8.76797446603034e-05,0.00066744722318705
"Pocillopora_acuta_HIv2___RNAseq.g25261.t1",21.3343714463262,2.09150261882178,1.02752076607082,0.00214508191619291,0.0106375721749135
"Pocillopora_acuta_HIv2___TS.g21666.t1",51.9172498158949,1.30057941811391,0.457273094724304,0.000649871309307635,0.00386214902791396
"Pocillopora_acuta_HIv2___RNAseq.3129_t",59.8681497995463,1.32796835286436,0.487030212974886,0.000876971104990506,0.00499820212529041
"Pocillopora_acuta_HIv2___RNAseq.g25292.t1",22.4898015199068,2.86222378502258,0.982529926195171,0.000178647469549376,0.00125048288212507
"Pocillopora_acuta_HIv2___RNAseq.g25302.t1",101.010057377807,2.14718157071859,0.385452642502061,2.17587819195664e-09,4.31395442025071e-08
"Pocillopora_acuta_HIv2___TS.g21705.t1",7.04681309645486,2.64394857022969,1.89276406705477,0.00550759019452984,0.0236516144237776
"Pocillopora_acuta_HIv2___TS.g21758.t1",2605.77998137018,1.86813479741682,0.196430316953337,2.09976293995332e-22,1.7656843778458e-20
"Pocillopora_acuta_HIv2___RNAseq.g25363.t1b",35471.0725042936,2.11144546181326,0.287395633825512,1.31010619125653e-14,5.1651242689866e-13
"Pocillopora_acuta_HIv2___RNAseq.g25364.t1",1928.67427787949,1.34751289613066,0.171435365294305,6.68069878244169e-16,3.10836703827907e-14
"Pocillopora_acuta_HIv2___TS.g21787.t1",360.420315878576,1.16813770882262,0.393005134377318,0.000533592417745597,0.00324813797151486
"Pocillopora_acuta_HIv2___TS.g21811.t1",2246.75983341385,1.3144056127328,0.226764229390684,1.19541436445664e-09,2.46997003908262e-08
"Pocillopora_acuta_HIv2___RNAseq.g25439.t1",14.6817219583149,2.23656795573763,0.92709801883537,0.000913600990773825,0.00518595081351789
"Pocillopora_acuta_HIv2___RNAseq.g25491.t1",558.220674576223,1.39142939420182,0.383897717974418,4.07763091232435e-05,0.000337836058991299
"Pocillopora_acuta_HIv2___RNAseq.g25492.t1",351.089376347034,2.10814700948345,0.411223977198282,2.50790267560559e-08,4.06646538259149e-07
"Pocillopora_acuta_HIv2___RNAseq.g25494.t1",6336.75420312291,1.76812510186893,0.351878372724466,5.4420205967287e-08,8.32787081764209e-07
"Pocillopora_acuta_HIv2___RNAseq.g25497.t1",875.2128725421,1.66145556939338,0.317000450386192,1.89552302634163e-08,3.13374156236008e-07
"Pocillopora_acuta_HIv2___TS.g21905.t1",466.950006912066,3.96259308089606,0.261632100534478,4.73934988444737e-53,3.74867765391398e-50
"Pocillopora_acuta_HIv2___RNAseq.g25530.t2",117.042652259349,1.23867446748817,0.435957693699408,0.000700187905422685,0.00412246012425066
"Pocillopora_acuta_HIv2___RNAseq.g25552.t1",2121.2902807509,2.17673896294841,0.207447793093948,8.76575224919689e-27,1.12624342730671e-24
"Pocillopora_acuta_HIv2___RNAseq.g25560.t1",4425.71522014966,2.69437935410834,0.197591214098271,1.4458969372557e-43,6.3098443756688e-41
