task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,spatial,Tank_3,POR_S72_H2,Formalin,1150,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,phys,Tank_5,POR_P72_H3,LN2,2372,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_5,POR_R72_H3,DNA/RNA shield,1734,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,LCM,Tank_5,POR_R72_H3,PAXgene,1734,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,spatial,Tank_5,POR_S72_H3,Formalin,1450,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys,Tank_1,POR_P120_C1,LN2,1771,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,bulk_rna,Tank_1,POR_R120_C1,DNA/RNA shield,1177,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,LCM,Tank_1,POR_R120_C1,PAXgene,1177,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,spatial,Tank_1,POR_S120_C1,Formalin,1322,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys,Tank_4,POR_P120_C2,LN2,1473,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,bulk_rna,Tank_4,POR_R120_C2,DNA/RNA shield,1315,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,LCM,Tank_4,POR_R120_C2,PAXgene,1315,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,spatial,Tank_4,POR_S120_C2,Formalin,1537,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys,Tank_6,POR_P120_C3,LN2,1133,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,bulk_rna,Tank_6,POR_R120_C3,DNA/RNA shield,1067,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,LCM,Tank_6,POR_R120_C3,PAXgene,1067,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,spatial,Tank_6,POR_S120_C3,Formalin,1557,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys,Tank_2,POR_P120_H1,LN2,2730,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,bulk_rna,Tank_2,POR_R120_H1,DNA/RNA shield,1478,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,LCM,Tank_2,POR_R120_H1,PAXgene,1478,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,spatial,Tank_2,POR_S120_H1,Formalin,1189,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys,Tank_3,POR_P120_H2,LN2,1761,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,bulk_rna,Tank_3,POR_R120_H2,DNA/RNA shield,1533,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,LCM,Tank_3,POR_R120_H2,PAXgene,1533,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,spatial,Tank_3,POR_S120_H2,Formalin,1336,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys,Tank_5,POR_P120_H3,LN2,1615,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,bulk_rna,Tank_5,POR_R120_H3,DNA/RNA shield,1614,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,LCM,Tank_5,POR_R120_H3,PAXgene,1614,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,spatial,Tank_5,POR_S120_H3,Formalin,1474,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_1,1281,LN2,1281,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_1,1626,LN2,1626,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_4,1102,LN2,1102,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_4,1130,LN2,1130,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_6,1043,LN2,1043,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_6,1337,LN2,1337,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_2,1122,LN2,1122,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_2,1244,LN2,1244,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_3,1065,LN2,1065,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_3,1555,LN2,1555,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_5,1575,LN2,1575,Yes,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,phys_PAM,Tank_5,1209,LN2,1209,Yes,
