"","sample_id","total_seq","n_fastqs","total_Mseq"
"95","MON_R72_H3_R1_trim",16724285,2,16.724285
"96","MON_R72_H3_R2_trim",16724285,2,16.724285
"97","POC_R24_H2_R1_trim",16733336,1,16.733336
"98","POC_R24_H2_R2_trim",16733336,1,16.733336
"99","MON_R12_H2_R1_trim",16820137,1,16.820137
"100","MON_R12_H2_R2_trim",16820137,1,16.820137
"101","MON_R3_C1_R1_trim",16862764,1,16.862764
"102","MON_R3_C1_R2_trim",16862764,1,16.862764
"103","POR_R0_C3_R1_trim",16973590,2,16.97359
"104","POR_R0_C3_R2_trim",16973590,2,16.97359
"105","POC_R3_H3_R1_trim",16987689,1,16.987689
"106","POC_R3_H3_R2_trim",16987689,1,16.987689
"107","MON_R0_H3_R1_trim",17067830,1,17.06783
"108","MON_R0_H3_R2_trim",17067830,1,17.06783
"109","POC_R72_H2_R1_trim",17132924,1,17.132924
"110","POC_R72_H2_R2_trim",17132924,1,17.132924
"111","POR_R120_H3_R1_trim",17159924,2,17.159924
"112","POR_R120_H3_R2_trim",17159924,2,17.159924
"113","POC_R0_H2_R1_trim",17194253,1,17.194253
"114","POC_R0_H2_R2_trim",17194253,1,17.194253
"115","POR_R24_H1_R1_trim",17263898,2,17.263898
"116","POR_R24_H1_R2_trim",17263898,2,17.263898
"117","MON_R0_C3_R1_trim",17414616,2,17.414616
"118","MON_R0_C3_R2_trim",17414616,2,17.414616
"119","POR_R1_H2_R1_trim",17470187,1,17.470187
"120","POR_R1_H2_R2_trim",17470187,1,17.470187
"121","POR_R72_C2_R1_trim",17720826,1,17.720826
"122","POR_R72_C2_R2_trim",17720826,1,17.720826
"123","POC_R72_C3_R1_trim",17855369,1,17.855369
"124","POC_R72_C3_R2_trim",17855369,1,17.855369
"125","POC_R24_H3_R1_trim",18033331,1,18.033331
