gene_id	module	color
Montipora_capitata_HIv3___TS.g38874.t1	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g1379.t1	ME10	purple
Montipora_capitata_HIv3___RNAseq.g1393.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g1441.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g1491.t1	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g1406.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38925.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1409.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1419.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1420.t1	ME4	yellow
Montipora_capitata_HIv3___TS.g38941.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g1455.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1467.t1	ME19	lightyellow
Montipora_capitata_HIv3___RNAseq.g1470.t1	ME10	purple
Montipora_capitata_HIv3___TS.g39000.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1482.t1	ME17	grey60
Montipora_capitata_HIv3___TS.g38799.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38813.t1	ME1	turquoise
Montipora_capitata_HIv3___TS.g38816.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1316.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1317.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1318.t2	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1327.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1339.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1340.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1227.t1	ME9	magenta
Montipora_capitata_HIv3___RNAseq.g1228.t1	ME3	brown
Montipora_capitata_HIv3___TS.g38749.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g1233.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1260.t1	ME3	brown
Montipora_capitata_HIv3___TS.g38794.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1281.t1	ME28	skyblue
Montipora_capitata_HIv3___RNAseq.g1283.t1	ME22	darkgreen
Montipora_capitata_HIv3___RNAseq.g1290.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38814.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1307.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1310.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1312.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1313.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g1315.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g1328.t1	ME22	darkgreen
Montipora_capitata_HIv3___RNAseq.g1337.t1	ME1	turquoise
Montipora_capitata_HIv3___TS.g38865.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38868.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.8106_t	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1673.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1676.t1	ME3	brown
Montipora_capitata_HIv3___TS.g39186.t1	ME4	yellow
Montipora_capitata_HIv3___TS.g38526.t1b	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1034.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1045.t1	ME26	darkorange
Montipora_capitata_HIv3___TS.g38562.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g1055.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1056.t1	ME26	darkorange
Montipora_capitata_HIv3___RNAseq.g1068.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38587.t2a	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1089.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1104.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38624.t1	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g1129.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1132.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g1143.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1208.t1	ME1	turquoise
Montipora_capitata_HIv3___TS.g38448.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g934.t1	ME1	turquoise
Montipora_capitata_HIv3___TS.g38451.t2	ME27	white
Montipora_capitata_HIv3___RNAseq.g938.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g939.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g940.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g941.t1	ME1	turquoise
Montipora_capitata_HIv3___TS.g38458.t2	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g947.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g948.t1	ME21	darkred
