"sample","ME25","ME5","ME10","ME9","ME26","ME23","ME12","ME22","ME27","ME7","ME21","ME8","ME3","ME29","ME6","ME17","ME31","ME4","ME11","ME15","ME1","ME16","ME18","ME19","ME20","ME2","ME30","ME28","ME13","ME14","ME24","ME0"
"MON_R1_H2",0.0285184901708798,-0.118842095916172,0.00497640941526256,0.178320557416385,-0.218008150755049,0.211310717041311,-0.148627473086905,0.281101087075583,-0.106414121738205,0.162262581598922,0.120645498746552,0.122712847559742,0.0101496529650835,0.0988688177767323,0.0962372623358858,0.0271756677581292,-0.00970286902046593,0.198079447065082,-0.19619662171134,-0.0981565636357166,-0.0693417310823882,-0.132752201814274,-0.0464252892881361,0.0899694560927213,0.0665518114359353,-0.0444255943298374,-0.157010466534432,-0.110821389096242,-0.117134724115092,0.1720610464182,-0.226994083365467,-0.0134824061552253
"MON_R1_H3",0.101699595736404,-0.141295532032893,0.0180991618948982,0.0310919260049303,-0.022656016271186,0.0504485349730489,0.195392365800002,0.22496880154098,0.24248430564319,0.15775079680426,0.20823860240263,0.207769596938636,0.0455748639860814,0.100028658350547,0.152223067895041,0.0171814827289338,0.161806153170242,0.171146484936441,0.174849717219764,-0.192147614776492,-0.0838128246776011,-0.096607612035953,-0.00636176389151096,0.0993410516198685,-0.0174313232398923,-0.169464777664812,-0.12215210337253,-0.186176191378348,-0.235066692619625,-0.26636401286853,-0.245135208774608,0.266093582397591
"MON_R3_C1",0.27775948412447,-0.232448531406181,-0.0493639264622235,-0.012256210437247,0.193446426196937,-0.0583778274796456,0.1061374424805,0.154566470693982,0.251333259406326,-0.0972729612369685,-0.162567001590815,0.310043458713529,0.153446200786385,0.11232821456328,0.103852688447297,0.1469611137916,0.13766797257111,0.142784600653315,0.170280900199615,-0.305831491665342,-0.0989413680511575,0.140562101669431,0.123599201184642,-0.195522762238386,-0.0659879178162458,-0.198652392742214,-0.146813394830733,0.0735463232926954,-0.232445907622889,-0.287957669261107,-0.20345489472439,0.22966591556022
"MON_R3_C2",0.179238579246495,-0.055265084865275,0.0529799512812676,-0.0570087566057396,-0.100791729029635,-0.168051652449564,0.071353279116471,-0.0509016714763007,-0.0808366528657526,0.210645975403814,0.239292237032523,-0.0116849419273429,0.107755863839509,0.0273115424594562,0.0974719241908105,0.078222307992242,-0.188143562852164,-0.157201924743381,-0.127254860831374,-0.140438481979518,-0.114499701056155,-0.115235522310185,-0.0916053660008145,0.102490519149599,-0.0723463281664394,0.172042916353088,0.03341987751375,-0.0858857923789867,0.0197687086719854,0.113152982095733,0.116344722301866,-0.016606660684263
"MON_R3_C3",0.0655228571613661,0.19313207633675,0.136593227258023,0.114907883711496,0.165929549487618,-0.166878568797083,-0.0190716605108704,-0.100226291374185,-0.115334807482243,-0.044000846366061,-0.017883872558225,-0.0275204554537257,0.130818245233883,0.0915788420240405,-0.0197777931192338,0.141274111044951,-0.187622133263544,-0.166476788838719,-0.129653943203021,-0.0558261200240362,-0.117734295155657,0.0477794144913864,0.0066034174272634,-0.135496936967527,-0.0499144956522647,0.114021690478755,-0.0320198673811436,0.00598603280044379,0.0012782267560291,0.0522069759527424,0.0867691140206746,-0.0227398830326242
"MON_R3_H1",0.345171262328444,0.206067084191121,0.273111975022502,0.18139215670614,0.20305460438652,0.197968245570673,-0.0183003707000185,-0.145852267181459,-0.173712842568797,-0.345073247441897,0.0359052114036172,-0.0978180186789739,-0.222603863137548,-0.12711547233999,-0.394566102459954,-0.326984669493218,0.11145165805948,-0.195688826792019,-0.140615782888246,0.366790379161466,0.229158265914549,0.345298236879987,0.253676752092927,0.0393913569503073,-0.346599866971667,0.0901273264164137,0.277240263380558,-0.300183059227346,0.237821996816683,-0.0419048412068053,-0.0390883318349766,-0.0405106009819557
"MON_R3_H2",0.265245018618943,0.0301777192207879,0.0299359976488626,0.0568710483053113,0.042621560535137,-0.107698745174414,0.101890276194433,-0.0186313680068435,0.0804164809707235,-0.0921692034925946,0.25756551429434,-0.00635334014414681,-0.168367524933394,-0.0243222180305153,-0.232813815234186,-0.321840284265566,0.0579309609252921,-0.141644342663458,-0.101231139078884,0.00806588344856231,0.164301707544114,0.0729979938627862,-0.00451351326570591,0.193659371425539,-0.225568067929108,0.176018426048537,0.298253625548332,-0.2498445699902,0.210163537664361,0.0509345666247588,0.0529738787682799,-0.0214274974206445
"MON_R3_H3",0.187959008352495,-0.0273030589254574,0.162842857613866,0.380434026510859,0.240829074498643,0.0519283727980854,0.115370883702428,0.108563294894745,0.182703914522439,-0.27976719018605,-0.0985115265936392,0.0821873307259327,-0.180105095314991,0.133397097486746,-0.201981692685083,-0.187189692316876,0.362327097771662,0.139343876988727,0.15458161864859,0.107173289740803,0.172574046315507,0.223888058577261,0.206908477951337,-0.04336321516397,-0.2135809652246,-0.211842479340276,0.00306308845509527,-0.309537535330346,-0.17725991026484,-0.311576201912083,-0.279838391319511,0.239118295535126
"MON_R12_C1",0.133897449416924,-0.164343285412933,-0.0419187527824831,-0.0783037628581255,0.00370380859650862,-0.0780891063603036,0.207352113983364,0.214004078586146,0.310898820318743,0.0969472341058015,0.0715591612374646,0.254764215973863,0.0818884372632462,0.00768217007122381,0.198341396780099,0.0331963023423749,0.190801277187266,0.180400367171028,0.209329608908431,-0.200824592942522,-0.0822778698280869,-0.037528789050904,0.0453415474569126,-0.0139233837878654,-0.0177812957338717,-0.173117652617624,-0.111806114907891,-0.0539273692560048,-0.244064430216835,-0.262008607525898,-0.220103666937958,0.26590813461172
"MON_R12_C2",-0.0150471830851913,0.081926460248033,0.0476961808039169,-0.158488217466672,-0.101817472627547,-0.110882003185159,-0.256957444576383,-0.160581559517703,-0.021358933602178,0.121767277027515,0.184316418238061,0.159280689085779,0.130948716431656,0.00339332660660523,0.201430913543481,0.0492970710645156,-0.0559420316485433,0.206260226644725,0.259004930118164,-0.102224958661391,-0.129639349181014,-0.166386188075496,-0.151573300984737,-0.00293728060787842,-0.0707269149463508,-0.145810374518729,-0.225740798711822,0.187052498346191,0.0322837051728681,0.228574845933171,0.262185820746603,-0.230230532125955
