task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_2,MON_R120_H1,DNA/RNA shield,1607,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,LCM,Tank_2,MON_R120_H1,PAXgene,1607,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,spatial,Tank_2,MON_S120_H1,Formalin,2876,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys,Tank_6,MON_P120_C3,LN2,1041,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_6,MON_R120_C3,DNA/RNA shield,2736,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,LCM,Tank_6,MON_R120_C3,PAXgene,2736,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,spatial,Tank_6,MON_S120_C3,Formalin,1431,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys,Tank_1,MON_P120_C1,LN2,1108,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_1,MON_R120_C1,DNA/RNA shield,1582,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,LCM,Tank_1,MON_R120_C1,PAXgene,1582,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,spatial,Tank_1,MON_S120_C1,Formalin,1692,Yes,Time: 10:09
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_1,POR_PAM_1739,LN2,1739,Yes,Time: 10:12
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_1,POR_PAM_1252,LN2,1252,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_1,POR_PAM_1250,LN2,1250,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_2,POR_PAM_1211,LN2,1211,Yes,Time: 10:15
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_2,POR_PAM_1248,LN2,1248,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_2,POR_PAM_1494,LN2,1494,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_3,POR_PAM_1339,LN2,1339,Yes,Time: 10:18
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_3,POR_PAM_1113,LN2,1113,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_3,POR_PAM_1597,LN2,1597,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_4,POR_PAM_1056,LN2,1056,Yes,Time: 10:21
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_4,POR_PAM_1461,LN2,1461,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_4,POR_PAM_2360,LN2,2360,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_5,POR_PAM_1441,LN2,1441,Yes,Time: 10:25
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_5,POR_PAM_1560,LN2,1560,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_5,POR_PAM_1086,LN2,1086,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_6,POR_PAM_1563,LN2,1563,Yes,Time: 10:29
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_6,POR_PAM_1631,LN2,1631,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys_PAM,Tank_6,POR_PAM_1472,LN2,1472,Yes,Time: 10:31
