Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R3_C3	18440310.0	275.0	13274680.0	71.99	277.77	12117698.0	11214191.0	11919846.0	96377.0	6397.0	95078.0	0.59	0.04	2.82	0.03	2.4	1193091.0	6.47	183366.0	0.99	0.0	20.4	0.15	0	3761515	27658
MON_R3_H1	19375429.0	275.0	13950339.0	72.0	277.68	11317526.0	10431495.0	11136853.0	90983.0	5741.0	83949.0	0.6	0.04	2.78	0.03	2.36	1401926.0	7.24	440843.0	2.28	0.0	18.32	0.17	0	3549385	32936
MON_R3_H2	32390672.0	268.0	20813119.0	64.26	274.79	17476842.0	16006095.0	17177194.0	130124.0	12232.0	157292.0	0.6	0.04	2.73	0.04	2.4	2090498.0	6.45	156270.0	0.48	0.0	28.65	0.16	0	9278965	51820
MON_R3_H3	15288598.0	277.0	11315307.0	74.01	278.38	9268394.0	8560431.0	9116047.0	74337.0	5106.0	72904.0	0.58	0.05	2.82	0.04	2.43	1224327.0	8.01	519936.0	3.4	0.0	14.42	0.16	0	2204567	24461
MON_R72_C1	18759165.0	274.0	13777151.0	73.44	277.27	11831937.0	10923186.0	11623781.0	106107.0	6803.0	95246.0	0.62	0.05	2.77	0.04	2.39	1197920.0	6.39	259403.0	1.38	0.0	18.68	0.1	0	3505923	18768
MON_R72_C2	15855701.0	275.0	11654285.0	73.5	277.44	10686091.0	9869819.0	10508052.0	88028.0	7033.0	82978.0	0.61	0.05	2.87	0.04	2.42	1099096.0	6.93	268488.0	1.69	0.0	17.75	0.12	0	2814802	19030
MON_R72_C3	22918766.0	275.0	16768621.0	73.17	277.28	15700348.0	14447269.0	15450619.0	126647.0	9574.0	113508.0	0.62	0.04	2.86	0.04	2.49	1599511.0	6.98	440450.0	1.92	0.0	17.81	0.13	0	4080400	29784
MON_R72_H1	15327535.0	277.0	35398.0	0.23	272.07	14259.0	12251.0	13846.0	99.0	11.0	303.0	0.89	0.06	2.76	0.05	2.37	12896.0	0.08	28015.0	0.18	0.0	99.48	0.02	0	15248160	3066
MON_R72_H2	20858703.0	271.0	101922.0	0.49	274.42	54799.0	46197.0	53697.0	260.0	54.0	788.0	0.67	0.06	2.71	0.04	2.32	35883.0	0.17	96571.0	0.46	0.0	98.81	0.06	0	20611811	12516
MON_R72_H3	16724285.0	274.0	12244799.0	73.22	277.1	10216653.0	9387133.0	10032403.0	85520.0	6855.0	91875.0	0.62	0.05	2.77	0.04	2.42	1090189.0	6.52	187331.0	1.12	0.0	19.03	0.12	0	3181901	20065
