biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	assembly	fasta_file
SAMN56252375	MON_R3_C3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R3_C3_S31_R1_001.fastq.gz	MON_R3_C3_S31_R2_001.fastq.gz	run-2-MON_R3_C3_S23_R1_001.fastq.gz	run-2-MON_R3_C3_S23_R2_001.fastq.gz				
SAMN56252376	MON_R3_H1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R3_H1_S21_R1_001.fastq.gz	MON_R3_H1_S21_R2_001.fastq.gz	run-2-MON_R3_H1_S19_R1_001.fastq.gz	run-2-MON_R3_H1_S19_R2_001.fastq.gz				
SAMN56252377	MON_R3_H2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R3_H2_S94_R1_001.fastq.gz	MON_R3_H2_S94_R2_001.fastq.gz	run-2-MON_R3_H2_S62_R1_001.fastq.gz	run-2-MON_R3_H2_S62_R2_001.fastq.gz	run-3_MON_R3_H2_S12_R1_001.fastq.gz	run-3_MON_R3_H2_S12_R2_001.fastq.gz		
SAMN56252378	MON_R3_H3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R3_H3_S97_R1_001.fastq.gz	MON_R3_H3_S97_R2_001.fastq.gz						
SAMN56252379	MON_R12_C1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R12_C1_S121_R1_001.fastq.gz	MON_R12_C1_S121_R2_001.fastq.gz						
SAMN56252380	MON_R12_C2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R12_C2_S26_R1_001.fastq.gz	MON_R12_C2_S26_R2_001.fastq.gz						
SAMN56252381	MON_R12_C3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R12_C3_S16_R1_001.fastq.gz	MON_R12_C3_S16_R2_001.fastq.gz						
SAMN56252382	MON_R12_H1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R12_H1_S36_R1_001.fastq.gz	MON_R12_H1_S36_R2_001.fastq.gz	run-2-MON_R12_H1_S26_R1_001.fastq.gz	run-2-MON_R12_H1_S26_R2_001.fastq.gz				
SAMN56252383	MON_R12_H2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R12_H2_S11_R1_001.fastq.gz	MON_R12_H2_S11_R2_001.fastq.gz						
SAMN56252384	MON_R12_H3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R12_H3_S43_R1_001.fastq.gz	MON_R12_H3_S43_R2_001.fastq.gz						
SAMN56252385	MON_R24_C1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R24_C1_S50_R1_001.fastq.gz	MON_R24_C1_S50_R2_001.fastq.gz						
SAMN56252386	MON_R24_C2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R24_C2_S25_R1_001.fastq.gz	MON_R24_C2_S25_R2_001.fastq.gz						
