Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Montipora_capitata_HIv3___RNAseq.g50599.t1	0.98199439128909	1	-8.70163237486798	-9.06038285632835	17	12	0.1164408222913	0	0	0	0	0.793553630388166	1	0.908278093701357	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50600.t1	0.655222347486773	1	-53.2012893002768	-54.8467811712404	17	12	0.941666784296826	0	0	0	0	0.291012578871217	0.680413682871928	0.659541458362909	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50603.t1	0.999999995518183	1	-4.49210567247954	-4.49284579560933	17	12	2.06170673603298e-06	0	0	0	0	0.836444535479852	1	0.906866858655546	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50601.t1	0.000946490046338983	0.0114719067137182	-117.325429569755	-127.6463175306	17	12	10.5473753410985	0	0	0	0	0.0109991110573671	0.0729861910557464	0.767560528621323	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50602.t1	0.00130935800210546	0.0148444536418024	-116.675027958783	-126.621072731387	17	12	10.6187883523781	0	0	0	0	0.0325607650816307	0.16249139826547	0.382821888179283	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50604.t1	0.620612777938701	1	-62.9901354049531	-64.7493107313979	17	12	1.21936640929253	0	0	0	0	0.746270063173621	1	0.627081164479264	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50605.t1	0.99715885852238	1	-158.82254023051	-158.984739729098	17	12	36.0986297173085	0	0	0	0	0.756389852067539	1	0.989795354188515	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50606.t1	0.27740330318796	0.778117356829242	-144.543849271689	-147.697787121457	17	12	13.9552193536271	0	0	0	0	0.0190195258444754	0.109805007582475	0.861004068018101	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g50607.t1	0.492515248174094	1	-154.891297143175	-157.094454291863	17	12	19.9211587991502	0	0	0	0	0.13498582142907	0.425836845020205	0.699440172070813	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g131.t1	0.508316646942547	1	-100.982730359297	-103.128256275178	17	12	11.0143717265207	0	0	0	0	0.106322994775746	0.365473192139111	0.806173259846222	1	FALSE	FALSE	FALSE
